Pol,5,E,1,2016,9,2016-09-07,Aplic. de gastos,,0,,73454pn007tz,0,2016-09-08 17:09:01,0
Poldet,5,1,602.65.65,100000,0,Aplic. de gastos fact 573,
Poldet,5,2,118.01,16000,0,Iva de gastos,
Poldet,5,3,102.01.01,0,116000,Pago con transferencia,
Pol,6,E,2,2016,9,2016-09-07,Aplic. de gastos por mantenimiento,,0,,29204PN01JQU,0,2016-09-08 17:09:20,0,
Poldet,6,1,602.56.15,1463.08,0,Aplic. de gastos fac- 63442,
Poldet,6,2,602.56.15,1551.72,0,Aplic. de gastos Fact-63447,
Poldet,6,3,118.01,248.28,0,Iva de gastos fact 63447,
Poldet,6,4,118.01,234.09,0,Iva de gastos F-63442,
Poldet,6,5,102.01.01,0,3497.17,Pago con transferencia,
Pol,7,E,3,2016,9,2016-09-07,Aplic. de gastos de matto de vehiculo,,0,,39424PN01HQZ,0,2016-09-08 17:09:12,0,
Poldet,7,2,118.01,253.4,0,iva de gastos fact-3422 y 3389,
Poldet,7,1,602.56.46,1583.73,0,Aplic. de gastos fact-3422 y 3389,
Poldet,7,3,102.01.01,0,1837.13,Pago con transferencia,
Pol,8,E,4,2016,9,2016-09-07,Aplic. de gastos,,0,,09484PN00CNV,0,2016-09-08 17:09:22,0,
Poldet,8,1,602.56.05,1500,0,Aplic. de gastos Fact- 236,
Poldet,8,2,118.01,240,0,Iva de gastos Fac-236,
Poldet,8,3,102.01.01,0,1740,Pago con transferencia,
Pol,9,E,5,2016,9,2016-09-07,Aplic. de gastos,,0,,15424PN01KWG,0,2016-09-08 17:09:28,0,
Poldet,9,1,602.56.09,1200,0,Aplic. de gastos Fac-109,
Poldet,9,2,118.01,192,0,Iva de gastos F-109,
Poldet,9,3,102.01.01,0,1392,Pago con transferencia,
Pol,10,E,6,2016,9,2016-09-07,Aplic. de gastos varios,,0,,22184PN01YEP,0,2016-09-08 17:09:25,0,
Poldet,10,1,602.84.21,913.58,0,aplic. de gastos,
Poldet,10,2,602.84.21,202.03,0,Aplic. de gastos,
Poldet,10,3,602.84.40,241.81,0,Aplic. de gastos,
Poldet,10,4,602.84.40,578.88,0,Aplic. de gastos,
Poldet,10,5,602.83,14.84,0,Aplic. de gastos,
Poldet,10,6,602.83,7541.1,0,Aplic. de gastos,
Poldet,10,7,602.83,1050,0,Aplic. de gastos,
Poldet,10,8,602.83,1050,0,Aplic. de gastos,
Poldet,10,9,118.01,131.31,0,Aplic. de iva,
Poldet,10,10,102.01.01,0,11723.55,Pago con transferencia,
Poldet,10,11,,0,0,,
Pol,11,E,7,2016,9,2016-09-09,aplic. de pago de energia electrica,,0,,63374PO01QNI,0,2016-09-09 11:09:34,0,
Poldet,11,1,602.52,557.55,0,Pago energia electrica suc 231,
Poldet,11,2,602.52,27.87,0,Pago de energia electrica,
Poldet,11,3,118.01,89.2,0,Iva de gastos,
Poldet,11,4,102.01.01,0,675,Pago con transferencia,
Poldet,11,5,602.83,0.38,0,Aplic. de gastos,
Pol,12,E,8,2016,9,2016-09-09,Aplic. dde matto de mirage,,0,,,0,2016-09-09 11:09:48,0,
Poldet,12,1,602.56.24,2756.9,0,Aplic. de gastos,
Poldet,12,2,118.01,441.1,0,Iva de gastos,
Poldet,12,3,102.01.01,0,3198,Pago con transferencia,
Pol,13,E,9,2016,9,2016-09-09,Aplic. de gastos,,0,,,0,2016-09-09 11:09:21,0,
Poldet,13,1,602.84.25,227.42,0,Aplic. de gstos,
Poldet,13,2,118.01,3.03,0,iva de gastos,
Poldet,13,3,602.34.01,734.27,0,Aplic. de gastos,
Poldet,13,4,118.01,117.48,0,iva sobre gastos,
Poldet,13,5,216.04,0,73.43,Aplic. de retencio isr,
Poldet,13,6,216.10,0,78.32,iva retenido,
Poldet,13,7,102.01.01,0,930.45,Pago con transferencia,
Pol,14,E,10,2016,9,2016-09-09,Aplic. de gastos,,0,,,0,2016-09-12 14:09:33,0,
Poldet,14,1,602.84.41,1810.34,0,Aplic. de gastos,
Poldet,14,2,118.01,289.66,0,Iva de gastos,
Poldet,14,3,102.01.01,0,2100,Pago con transferencia,
Pol,15,E,11,2016,9,2016-09-09,Aplic. de gastos,,0,,8872,0,2016-09-12 17:09:49,0,
Poldet,15,1,602.56.35,2255,0,Aplic. de fact 819,
Poldet,15,2,118.01,360.8,0,Iva de factura 819,
Poldet,15,3,602.56.35,430,0,Aplic. de factura 820,
Poldet,15,4,118.01,68.8,0,iva de factura 820,
Poldet,15,5,602.56.35,880,0,Aplic. de factura 821,
Poldet,15,6,118.01,140.8,0,iva de factura 821,
Poldet,15,7,102.01.01,0,4134.6,Pago con transferencia,
Poldet,15,8,602.83,0,0.8,Aplic. de ajuste,
Pol,16,E,12,2016,9,2016-09-12,Aplic. de gastos,,0,,,0,2016-09-12 17:09:36,0,
Poldet,16,1,602.56.46,297.07,0,PAGO DE FACTURA 3433,
Poldet,16,2,118.01,47.53,0,iva de fact 3433,
Poldet,16,3,102.01.01,0,344.6,Pago con transferencia,
Pol,17,E,13,2016,9,2016-09-11,Aplic. de gastos,,0,,,0,2016-09-12 18:09:36,0,
Poldet,17,1,603.49.06,475.86,0,Aplic. de gastos,
Poldet,17,2,118.01,76.14,0,Iva de gastos,
Poldet,17,3,102.01.01,0,552,Pago con transferencia,
Pol,18,E,14,2016,9,2016-09-11,Aplic. de gastos,,0,,,0,2016-09-12 18:09:21,0,
Poldet,18,1,602.65.32,1500,0,Aplic. de gastos,
Poldet,18,2,602.65.32,1240,0,Aplic. de gastos,
Poldet,18,3,118.01,240,0,Iva de gastos,
Poldet,18,4,118.01,198.4,0,Iva de gastos,
Poldet,18,5,102.01.01,0,3178.4,Pago con transferencia,
Pol,19,E,15,2016,9,2016-09-13,Aplic. de gastos,,0,,,0,2016-09-13 16:09:35,0,
Poldet,19,1,602.56.35,600,0,aplic. de gastos factura 818,
Poldet,19,2,118.01,96,0,iva de factura 818,
Poldet,19,3,102.01.01,0,696,Pago con transferencia,
Pol,20,E,16,2016,9,2016-09-13,Aplic. de gastos,,0,,,0,2016-09-13 16:09:48,0,
Poldet,20,1,602.65.39,5500,0,Aplic. de gastos,
Poldet,20,2,118.01,880,0,iva de factura 877,
Poldet,20,3,102.01.01,0,6380,Pago con transferencia,
Pol,21,E,17,2016,9,2016-09-13,Aplic. de gastos,,0,,,0,2016-09-13 16:09:57,0,
Poldet,21,1,602.65.26,1142.24,0,Aplic. de gastos fact-22195,
Poldet,21,2,118.01,182.76,0,iva de factura 22195,
Poldet,21,3,102.01.01,0,1325,Pago con transferencia,
Pol,22,E,18,2016,9,2016-09-13,Aplic. de gastos,,0,,,0,2016-09-13 16:09:12,0,
Poldet,22,1,602.65.26,3340.51,0,Aplic. de fastos fact-21997,
Poldet,22,2,118.01,534.49,0,iva de fact-21997,
Poldet,22,3,102.01.01,0,3875,Pago con transferencia,
Pol,23,E,19,2016,9,2016-09-12,Aplic. de gastos,,0,,,0,2016-09-13 16:09:48,0,
Poldet,23,1,602.84.20,3800,0,Aplic. de gastos fact-91,
Poldet,23,2,118.01,608,0,Iva  de gastos fact-91,
Poldet,23,3,102.01.01,0,4408,Pago con transferencia,
Pol,24,E,20,2016,9,2016-09-12,Aplic. de gastos,,0,,,0,2016-09-13 16:09:37,0,
Poldet,24,1,602.65.58,19326.45,0,Aplic.de gastos fact-1216,
Poldet,24,2,118.01,3092.23,0,iva de fact-1216,
Poldet,24,3,102.01.01,0,22418.68,Pago con transferencia,
Pol,25,E,21,2016,9,2016-09-12,Aplic. de gastos,,0,,,0,2016-09-13 17:09:20,0,
Poldet,25,1,602.65.26,500,0,Aplic. de gastos fact -22017,
Poldet,25,2,118.01,80,0,iva de gastos fact-22017,
Poldet,25,3,102.01.01,0,580,Pago con transferencia,
Pol,26,E,22,2016,9,2016-09-12,Pago de matto de sofware,,0,,,0,2016-09-13 17:09:29,0,
Poldet,26,1,603.56.08,1200,0,Aplic. de gastos fact-0157,
Poldet,26,2,118.01,192,0,Iva de gastos fact -0157,
Poldet,26,3,102.01.01,0,1392,Pago con transferencia,
Pol,27,E,23,2016,9,2016-09-12,Aplic. de gastos,,0,,,0,2016-09-13 17:09:27,0,
Poldet,27,1,602.65.27,3503.39,0,Aplic. de gastos 6233,
Poldet,27,2,118.01,560.54,0,iva de gastos F-6233,
Poldet,27,3,102.01.01,0,4063.93,Pago con transferencia,
Pol,28,I,1,2016,9,2016-09-01,Aplicacion depositos (r-209),,0,,,0,2016-09-13 17:09:57,0,
Poldet,28,1,102.01.02,729.47,0,1 septiembre 2016,
Poldet,28,2,102.01.01,86100,0,1 septiembre 2016,
Poldet,28,3,102.01.01,8834,0,1 septiembre 2016,
Poldet,28,4,101.01.01,0,95663.47,Aplicacion efectivo,
Poldet,28,5,,0,0,,
Pol,29,I,2,2016,9,2016-09-01,Aplicacion depositos ventas (Cedis) ago,,0,,,0,2016-09-14 09:09:30,0,
Poldet,29,1,102.01.01,3930.01,0,,
Poldet,29,2,102.01.01,4316.53,0,1 septiembre 2016,
Poldet,29,3,101.01.01,0,8246.54,Aplicacion efectivo,
Pol,30,I,3,2016,9,2016-09-01,Aplicacion depositos ventas (Colo) ago,,0,,,0,2016-09-14 10:09:34,0,
Poldet,30,1,102.01.01,3433.48,0,1 septiembre 2016,
Poldet,30,2,102.01.01,28000,0,1 septiembre 2016,
Poldet,30,3,102.01.01,3270.48,0,1 septiembre 2016,
Poldet,30,4,101.01.01,0,34703.96,Aplicacion efectivo,
Pol,31,I,4,2016,9,2016-09-01,Aplicacion depositos ventas (R-231) agos,,0,,,0,2016-09-14 10:09:07,0,
Poldet,31,1,102.01.02,30417,0,1 septiembre 2016,
Poldet,31,2,101.01.01,0,30417,Aplicacion efectivo,
Pol,32,I,5,2016,9,2016-09-01,Aplicacion depositos ventas (Constituyentes) agos,,0,,,0,2016-09-14 10:09:13,0,
Poldet,32,1,102.01.01,6759.47,0,6 septiembre 2016,
Poldet,32,2,102.01.01,4980.84,0,1 septiembre 2016,
Poldet,32,3,102.01.01,4587.12,0,1 septiembre 2016,
Poldet,32,4,102.01.01,40000,0,1 septiembre 2016,
Poldet,32,5,101.01.01,0,56327.43,Aplicacion efectivo,
Pol,33,I,6,2016,9,2016-09-01,Aplicacion depositos ventas (R-99) agost,,0,,,0,2016-09-14 10:09:18,0,
Poldet,33,1,102.01.01,2565.61,0,1 septiembre 2016,
Poldet,33,2,102.01.01,20085,0,1 septiembre 2016,
Poldet,33,3,102.01.01,8500,0,1 septiembre 2016,
Poldet,33,4,101.01.01,0,31150.61,Aplicacion efectivo,
Pol,34,I,7,2016,9,2016-09-01,Aplicacion depositos ventas (tizimin) agos,,0,,,0,2016-09-14 10:09:18,0,
Poldet,34,1,102.01.01,9665.62,0,1 septiembre 2016,
Poldet,34,2,102.01.01,8457.17,0,1 septiembre 2016,
Poldet,34,3,102.01.01,10179.48,0,1 septiembre 2016,
Poldet,34,4,101.01.01,0,28302.27,Aplicacion efectivo,
Pol,35,E,24,2016,9,2016-09-09,Aplic. de gastos,,0,,,0,2016-09-14 13:09:20,0,
Poldet,35,1,602.65.52,63504.74,0,Aplic. de gastos,
Poldet,35,2,118.01,10160.76,0,iva de compras,
Poldet,35,3,102.01.01,0,73665.5,Pago con transferencia,
Pol,36,E,25,2016,9,2016-09-06,aplic. de gastos,,0,,,0,2016-09-14 13:09:46,0,
Poldet,36,1,602.65.66,6260,0,Aplic. de gastos fact 1350,
Poldet,36,2,118.01,1001.6,0,iva de fact 1350,
Poldet,36,3,102.01.01,0,7261.6,Pago con transferencia,
Pol,37,E,26,2016,9,2016-09-12,Aplic. de compras,,0,,,0,2016-09-14 13:09:35,0,
Poldet,37,1,602.84.25,225.5,0,Aplic. de gastos fact-99A5D,
Poldet,37,2,102.01.01,0,225.5,Pago con transferencia,
Pol,38,E,27,2016,9,2016-09-06,Aplic. de gastos,,0,,,0,2016-09-14 13:09:01,0,
Poldet,38,1,603.56.03,5056,0,Aplic. de gastos,
Poldet,38,2,118.01,808.96,0,Iva de gastos,
Poldet,38,3,102.01.01,0,5864.96,Pago con transferencia,
Pol,39,E,28,2016,9,2016-09-03,Aplic. de trasnferencia,,0,,,0,2016-09-14 13:09:11,0,
Poldet,39,1,120.01.06,50000,0,Aplic. de traspaso,
Poldet,39,2,102.01.01,0,50000,Pago con transferencia,
Pol,40,E,29,2016,9,2016-09-03,Aplic. de trasnferencia,,0,,,0,2016-09-14 13:09:41,0,
Poldet,40,1,120.01.19,40000,0,Aplic. de transferencia,
Poldet,40,2,102.01.01,0,40000,Pago con transferencia,
Pol,41,E,30,2016,9,2016-09-03,Aplic. de trasnferencia,,0,,,0,2016-09-14 14:09:56,0,
Poldet,41,1,120.01.01,30000,0,Aplic. de transferencia,
Poldet,41,2,102.01.01,0,30000,Pago con transferencia,
Pol,42,E,31,2016,9,2016-09-03,Aplic. transferencia,,0,,,0,2016-09-14 14:09:29,0,
Poldet,42,1,120.01.41,15000,0,Aplic. de transferencia,
Poldet,42,2,102.01.01,0,15000,Pago con transferencia,
Pol,43,E,32,2016,9,2016-09-01,aplic. de pago a proveedor,,0,,,0,2016-09-14 14:09:50,0,
Poldet,43,1,201.01.25,269124.56,0,Pago de factura 138274,
Poldet,43,2,102.01.01,0,269124.56,Pago con transferencia,
